run_index,penalty_r,algorithm,start_x,start_y,start_z,step,x,y,z,penalty_value,feasible
5,1,Penalty Nelder-Mead,1,1,1,80,0.335007,0.425269,0.496836,-0.069151,0
5,1,Penalty Nelder-Mead,1,1,1,81,0.335007,0.425269,0.496836,-0.069151,0
5,1,Penalty Nelder-Mead,1,1,1,82,0.335007,0.425269,0.496836,-0.069151,0
5,1,Penalty Nelder-Mead,1,1,1,83,0.335007,0.425269,0.496836,-0.069151,0
5,1,Penalty Nelder-Mead,1,1,1,84,0.344465,0.480191,0.426596,-0.0693789,0
5,1,Penalty Nelder-Mead,1,1,1,85,0.348481,0.439799,0.476391,-0.0696967,0
5,1,Penalty Nelder-Mead,1,1,1,86,0.357777,0.434392,0.455643,-0.0697431,0
5,1,Penalty Nelder-Mead,1,1,1,87,0.365475,0.477653,0.408918,-0.0698887,0
5,1,Penalty Nelder-Mead,1,1,1,88,0.370024,0.421038,0.467372,-0.0702099,0
5,1,Penalty Nelder-Mead,1,1,1,89,0.370024,0.421038,0.467372,-0.0702099,0
5,1,Penalty Nelder-Mead,1,1,1,90,0.370024,0.421038,0.467372,-0.0702099,0
5,1,Penalty Nelder-Mead,1,1,1,91,0.370024,0.421038,0.467372,-0.0702099,0
5,1,Penalty Nelder-Mead,1,1,1,92,0.392825,0.455589,0.413951,-0.0704429,0
5,1,Penalty Nelder-Mead,1,1,1,93,0.382051,0.431133,0.439948,-0.0704457,0
5,1,Penalty Nelder-Mead,1,1,1,94,0.397751,0.412585,0.449239,-0.0705553,0
5,1,Penalty Nelder-Mead,1,1,1,95,0.411727,0.445166,0.401387,-0.0706025,0
5,1,Penalty Nelder-Mead,1,1,1,96,0.411727,0.445166,0.401387,-0.0706025,0
5,1,Penalty Nelder-Mead,1,1,1,97,0.425286,0.409813,0.424757,-0.0706655,0
5,1,Penalty Nelder-Mead,1,1,1,98,0.425286,0.409813,0.424757,-0.0706655,0
5,1,Penalty Nelder-Mead,1,1,1,99,0.425286,0.409813,0.424757,-0.0706655,0
5,1,Penalty Nelder-Mead,1,1,1,100,0.412194,0.429341,0.416606,-0.0706892,0
5,1,Penalty Nelder-Mead,1,1,1,101,0.423222,0.417194,0.416488,-0.0707096,0
5,1,Penalty Nelder-Mead,1,1,1,102,0.423222,0.417194,0.416488,-0.0707096,0
